Libellé de la branche code de la branche en A17 Région;Agriculture, sylviculture et pêche AZ;Industries manufacturières, industries extractives et autres =DE+C1+C2+C3+C4+C5;Industries extractives, énergie, eau, gestion des déchets et dépollution DE;Fabrication de denrées alimentaires, de boissons et de produits à base de tabac C1;Cokéfaction et raffinage C2;"Fabrication  d'équipements électriques, informatiques ; fabrication de machines C3";Fabrication de matériels de transport C4;Fabrication d'autres produits industriels C5;Construction FZ;Commerce de gros et de détail, transports, hébergement et restauration =GZ+HZ+IZ;"Commerce ; réparation d'automobiles et de motocycles GZ";Transport et entreposage HZ;Hébergement et restauration IZ;Information et communication JZ;Activités financières et d'assurance KZ;Activités immobilières LZ;"Activités scientifiques et techniques ; services administratifs et de soutien MN";Administration publique, enseignement, santé humaine et action sociale OQ;Autres activités de services RU;Total
Auvergne-Rhône-Alpes;2466,550213236;41985,622586735;6436,202075896;4836,367782610;287,979565142;6123,755166434;1650,478898018;22650,839098635;15376,829335142;41385,662958829;23996,616174721;10709,365268561;6679,681515547;8201,951714747;6314,248653379;30866,014761338;31204,312959268;51012,722386301;6350,831736090;235164,747305065
Bourgogne-Franche-Comté;2815,508152595;12374,490836501;1345,226280112;1847,904611869;4,784378014;1523,178826059;1636,292947638;6017,103792810;3980,879437584;11392,331363373;6704,285594505;3157,815710034;1530,230058834;892,206836921;1590,595755056;9278,075240209;6411,296909869;17769,531413889;1871,493428316;68376,409374312
Bretagne;3327,136817036;13055,406288389;1443,401042578;5212,958414304;0;1240,887331783;595,845163190;4562,314336534;5592,607979465;13661,572052037;8286,891968546;2905,335517609;2469,344565883;3934,739197587;2470,164966908;11563,102091035;8806,915172535;21177,801643384;2529,853938044;86119,300146419
Centre-Val de Loire;2047,985653966;11941,441762218;1880,490930382;1595,852151038;0;1669,777025492;667,183287698;6128,138367608;3977,483065572;10509,874075614;6054,195760632;3041,707893941;1413,970421041;1631,825020659;2129,575296097;8317,543021181;6719,186706330;15727,036983778;1724,424385409;64726,375970824
Corse;87,034725900;540,623262740;262,899542304;145,440511360;0;6,571130434;21,514483069;104,197595573;777,937403532;1857,807860808;898,380433156;298,164180335;661,263247317;170,193144647;184,549394721;937,693067910;640,660964210;2615,769729022;246,198968691;8058,468522181
Grand Est;4621,803155784;27225,476332943;4071,030984789;5031,293635009;3,023515716;3101,040994977;2206,594556319;12812,492646133;8279,988149084;23186,192925493;13898,845325404;5859,848364610;3427,499235479;3056,366885138;3771,572615128;17543,404413572;12785,584488705;35607,915025378;3849,084902659;139927,388893883
Hauts-de-France;3006,176799042;24333,941985299;3601,426118721;4775,135495399;48,222383526;1605,024868441;1969,309059199;12334,824060012;8203,517799448;24673,857090765;14658,787268854;7037,617782070;2977,452039840;3508,947075669;4022,262681034;17944,809167140;15305,658620060;40729,542278369;3499,910437454;145228,623934281
Île-de-France;594,743591808;55728,642932073;13761,439775644;4505,659309025;351,894349336;6944,277680492;8995,570011561;21169,801806016;25639,241515915;120322,684955263;72961,428348077;31240,552194888;16120,704412297;63635,124440829;39263,700923120;78911,192524572;124954,720383203;97748,565852676;20731,856758502;627530,473877962
Normandie;2247,251521960;17467,212525081;2194,582696480;2696,850522185;1262,835152959;1349,508421478;1641,060861893;8322,374870085;5184,405742694;13417,502139630;7407,915261197;3944,919667094;2064,667211338;1195,931884967;2028,915921597;9995,789002377;7714,926479183;21604,225042920;2262,005632614;83118,165893022
Nouvelle-Aquitaine;5377,873195579;21206,776401858;3787,071507233;4323,345178361;8,592574688;2257,640768393;1917,232429147;8912,893944036;9576,866107595;26807,629770499;15635,510361250;6605,945651521;4566,173757728;3709,637051385;5055,088537003;20881,707785496;14703,030516002;40211,748746388;4651,128555007;152181,486666811
Occitanie;2944,506356320;20028,136200255;3725,086115578;2905,863794256;46,734702270;1552,802231438;5479,228245000;6318,421111713;9315,015358542;24529,708455029;14480,957185689;5752,240000524;4296,511268816;5575,902651268;3542,032393611;19867,558400716;18306,106553668;40022,700227549;4370,176644362;148501,843241321
Pays de la Loire;2828,133965467;18130,369302519;2364,820767441;4206,700297893;246,378179317;1955,234123300;2273,808704363;7083,427230205;6792,782799381;16838,931871202;10050,906379026;4357,462204950;2430,563287225;3628,753283681;3462,721497978;12677,223494375;11853,529990246;22542,076217064;2954,089709048;101708,612130961
Provence-Alpes-Côte d'Azur;2158,624931118;15826,986889507;3767,920119462;2076,059956588;441,490824093;1170,078393339;1270,191867305;7101,245728720;8537,960282431;28005,165481480;14173,032301618;7881,585991889;5950,547187973;6247,390824359;3742,013105368;20307,418667119;17791,460245030;36790,728409224;4406,901003939;143814,649839574
Dom;33928,585488002;224116,484374044;34880,158180977;39653,772350872;2350,041275727;23555,499281567;21328,740502838;102348,272782063;85596,273460469;236266,23604476;136246,324014599;61552,008233139;38467,903797022;41753,845571029;38313,740817880;180180,339112469;152242,669605105;345811,798103265;38716,099341633;1376926,07191865
Dom;34523,32907981;279845,127306117;48641,597956620;44159,431659896;2701,935625063;30499,776962059;30324,310514400;123518,074588079;111235,514976384;356588,921000022;209207,752362676;92792,560428027;54588,608209320;105388,970011858;77577,441741000;259091,531637041;277197,389988308;443560,363955941;59447,956100136;2004456,54579662
Guadeloupe;149,494;790,894;540,344;;;;;;301,495;1372,202;;;;319,928;412,811;917,51;515,421;3177,669;204,712;8162,136
Martinique;171,612;619,842;275,547;;;;;;292,989;1307,485;;;;346,433;420,185;1015,633;741,613;3113,508;223,363;8252,663
Guyane;176,351;372,116;202,481;;;;;;164,656;580,097;;;;130,464;127,361;445,712;436,445;1407,885;86,251;3927,338
Réunion;332,224;1096,556;287,491;;;;;;1008,316;2911,215;;;;580,617;776,847;2572,649;1139,884;6312,129;703,379;17433,816
Mayotte;78,478;154,091;87,596;;;;;;107,011;282,924;;;;53,212;58,913;242,874;61,468;1289,323;38,682;2366,976
Dom;908,159;3033,499;1393,459;665,038815477;31,952813476;63,721251015;29,426234447;849,767165507;1874,467;6453,923;0;0;0;1430,654;1796,117;5194,378;2894,831;15300,514;1256,387;40142,929
Dom;35431,48807981;282878,626306117;50035,056956620;44824,470475373;2733,888438538;30563,498213074;30353,736748846;124367,841753586;113109,981976384;363042,844000022;209207,752362676;92792,560428027;54588,608209320;106819,624011858;79373,558741000;264285,909637041;280092,220988308;458860,877955941;60704,343100136;2044599,47479662
Auvergne-Rhône-Alpes;2374,826863651;41806,382471795;6865,984499936;4768,253070871;232,795357361;6114,994505747;1577,522401368;22246,832636513;14661,913674048;40146,606195220;23322,553584232;10283,306547895;6540,746063092;7924,701802626;6829,180582889;29841,035632286;27996,877525696;50700,730776549;6142,345944663;228424,601469423
Bourgogne-Franche-Comté;2040,846231497;12118,804323066;1285,427103140;1803,649752342;1,124718432;1646,345966579;1516,192782515;5866,064000058;3880,952781770;11371,764412813;6705,865493771;3129,985649288;1535,913269754;891,133004957;1733,302959319;9157,393381414;6042,619208986;17406,981585601;1831,611170980;66475,409060402
